"filename", "language", "Dart", "C++", "JSON", "Markdown", "YAML", "Swift", "Ruby", "Groovy", "Properties", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\no_items_found.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 31
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\secure_repo.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_email.dart", "Dart", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 137
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_email2.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 85
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_line.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_sms.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_whatsapp.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\sms.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\styled_text.dart", "Dart", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 142
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\whatsapp copy.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 26
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\whatsapp.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 26
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\theme.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 73
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 4, 27
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 10, 44
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\pubspec.yaml", "YAML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 2, 8, 81
